x,y,z,q0,q1,q2,q3
-0.609390377998,-0.157950744033,1.11445665359,-0.0484028197825,-0.00110509514343,-0.689785718918,-0.722392976284
-0.609343886375,-0.157982051373,1.11446881294,-0.0485453866422,-0.00104892172385,-0.689928591251,-0.722247004509
-0.609138190746,-0.158372312784,1.11429584026,-0.0489906445146,-0.00171938841231,-0.688811957836,-0.723280787468
-0.609075903893,-0.158438682556,1.11429393291,-0.0491451211274,-0.00163093989249,-0.688907444477,-0.723179459572
-0.609075903893,-0.158438682556,1.11429393291,-0.0491451211274,-0.00163093989249,-0.688907444477,-0.723179459572
-0.608975887299,-0.15855127573,1.11428320408,-0.0493507608771,-0.00137303699739,-0.689041733742,-0.723038196564
-0.609010696411,-0.158290788531,1.11423587799,-0.0499086119235,-0.000728241633624,-0.690527737141,-0.721581578255
-0.608899652958,-0.158313244581,1.11424612999,-0.0499669127166,-0.000643287086859,-0.690686821938,-0.721425354481
-0.608855068684,-0.15832850337,1.11426174641,-0.050163500011,-0.000524744449649,-0.690869092941,-0.721237301826
-0.6087641716,-0.158346742392,1.11431145668,-0.0505266115069,-0.000473467545817,-0.690764784813,-0.721312046051
-0.6087449193,-0.158472433686,1.11440944672,-0.0497964173555,-0.000631498056464,-0.690754532814,-0.721372365952
-0.608616113663,-0.158551007509,1.11442553997,-0.0497720725834,-0.000513172824867,-0.69087600708,-0.721257925034
-0.608557105064,-0.158582389355,1.11444115639,-0.0498261637986,-0.000551192264538,-0.691009402275,-0.721126139164
-0.608529388905,-0.158618211746,1.11445736885,-0.0500247254968,-0.000482825707877,-0.691151201725,-0.72097659111
-0.608450591564,-0.158668577671,1.11445832253,-0.0499985963106,-0.000375015923055,-0.691370308399,-0.720768392086
-0.608382403851,-0.158686473966,1.11448049545,-0.0500829517841,-0.000369347835658,-0.691509842873,-0.720628738403
-0.608333408833,-0.158715605736,1.1144939661,-0.0501391254365,-0.0002664476051,-0.691676855087,-0.720464587212
-0.608333408833,-0.158715605736,1.1144939661,-0.0501391254365,-0.0002664476051,-0.691676855087,-0.720464587212
-0.608215093613,-0.15877366066,1.11453473568,-0.050644453615,-0.00025103855296,-0.691808819771,-0.720302581787
-0.608146727085,-0.158774971962,1.11454069614,-0.0506538562477,-0.000194427455426,-0.692006886005,-0.720111548901
-0.608105957508,-0.158821925521,1.11453902721,-0.0507916435599,-6.45750915282e-05,-0.69218224287,-0.719933271408
-0.608098506927,-0.158839091659,1.1145285368,-0.0507227927446,9.59628778219e-06,-0.692605555058,-0.719530940056
-0.608044087887,-0.158928900957,1.11453557014,-0.0511283874512,0.000266075599939,-0.692762851715,-0.719350755215
-0.608075916767,-0.158946588635,1.11448574066,-0.0518235787749,-4.15553658968e-05,-0.692600429058,-0.719457387924
-0.607939243317,-0.158960074186,1.11454474926,-0.0512555874884,0.000347898167092,-0.693007707596,-0.719105780125
-0.607875466347,-0.158965751529,1.11455178261,-0.0512795299292,0.000438206014223,-0.693181693554,-0.71893632412
-0.607829868793,-0.158989369869,1.11455953121,-0.0512915737927,0.000531784608029,-0.693308293819,-0.718813419342
-0.607773423195,-0.159000024199,1.11456680298,-0.0513029322028,0.000618416932411,-0.69345164299,-0.718674004078
-0.607662081718,-0.159017860889,1.11456429958,-0.051167987287,0.000762324314564,-0.693581879139,-0.71855789423
-0.607662081718,-0.159017860889,1.11456429958,-0.051167987287,0.000762324314564,-0.693581879139,-0.71855789423
-0.607539594173,-0.159061551094,1.11457180977,-0.0511105321348,0.00086827139603,-0.693838119507,-0.718314349651
