x,y,z,q0,q1,q2,q3
-0.582012653351,-0.162081241608,0.941490232944,0.0315178781748,0.0564246699214,-0.676937758923,-0.733197271824
-0.582038462162,-0.162149637938,0.941502034664,0.0297314599156,0.0575713589787,-0.676473557949,-0.733610987663
-0.582062900066,-0.162209227681,0.941519916058,0.0313710384071,0.0569143891335,-0.67735517025,-0.73278003931
-0.58207654953,-0.162301763892,0.941527187824,0.0305585227907,0.0576368831098,-0.67709249258,-0.733000576496
-0.582125484943,-0.162386074662,0.941573858261,0.0296453908086,0.0560767427087,-0.67869758606,-0.731673538685
-0.582153558731,-0.162444531918,0.941592872143,0.0301021132618,0.0575988553464,-0.677382290363,-0.732754707336
-0.582197129726,-0.162516012788,0.941618621349,0.0289878193289,0.0578939318657,-0.677249908447,-0.732898771763
-0.582207679749,-0.162598207593,0.941672623158,0.0289655271918,0.0575346015394,-0.677411556244,-0.732778549194
-0.582207679749,-0.162598207593,0.941672623158,0.0289655271918,0.0575346015394,-0.677411556244,-0.732778549194
-0.582279503345,-0.162732079625,0.941739916801,0.0283138826489,0.0581074692309,-0.67729228735,-0.732869148254
-0.582306861877,-0.162784442306,0.941769599915,0.0277177859098,0.058314807713,-0.67722851038,-0.732934296131
-0.582333803177,-0.162824317813,0.941801309586,0.0270651821047,0.0581061840057,-0.677384972572,-0.732830762863
-0.582368552685,-0.162866294384,0.941838681698,0.0267875865102,0.05801711604,-0.677616715431,-0.732633650303
-0.583700895309,-0.1621440202,0.941044926643,0.0223433636129,0.0564979091287,-0.679558753967,-0.731100976467
-0.583229720592,-0.162499636412,0.941506922245,0.0236987806857,0.0568491779268,-0.679208099842,-0.731356799603
-0.583735227585,-0.162202239037,0.941125392914,0.0213768668473,0.0563544742763,-0.679446578026,-0.731245219707
-0.582474887371,-0.163013935089,0.941992282867,0.0250388365239,0.0578332059085,-0.677696704865,-0.732636034489
-0.582514226437,-0.163041844964,0.942010223866,0.0256452653557,0.0577510148287,-0.678487420082,-0.731889307499
-0.583821594715,-0.162312835455,0.941221296787,0.0207593627274,0.0559964291751,-0.680219650269,-0.730571448803
-0.583398401737,-0.162663161755,0.941612243652,0.0220273062587,0.056528866291,-0.679481804371,-0.731179714203
-0.583398401737,-0.162663161755,0.941612243652,0.0220273062587,0.056528866291,-0.679481804371,-0.731179714203
-0.583942115307,-0.162406533957,0.941214680672,0.0191550813615,0.0559161379933,-0.67985033989,-0.730965137482
-0.583481311798,-0.162762001157,0.941686868668,0.0200007595122,0.0563482232392,-0.678585886955,-0.732083320618
-0.583958268166,-0.162470445037,0.941282689571,0.0190724674612,0.055193182081,-0.680311620235,-0.730592906475
-0.583958268166,-0.162470445037,0.941282689571,0.0190724674612,0.055193182081,-0.680311620235,-0.730592906475
-0.582741081715,-0.163236901164,0.942129731178,0.0207885429263,0.0568197108805,-0.677465081215,-0.733062326908
-0.582745552063,-0.163266777992,0.942152798176,0.0203248597682,0.0565945841372,-0.677719116211,-0.732857882977
-0.582764089108,-0.163275301456,0.942194104195,0.0200727861375,0.0559275448322,-0.677863240242,-0.732782840729
-0.582749962807,-0.163297608495,0.942241489887,0.0194640904665,0.0557970553637,-0.677815854549,-0.732853055
-0.582754850388,-0.163320437074,0.942260324955,0.0187482833862,0.0554213747382,-0.678036928177,-0.732695758343
-0.582779169083,-0.163349583745,0.942280828953,0.0191979557276,0.0554429367185,-0.678288817406,-0.732449293137
-0.582760691643,-0.163346096873,0.942294180393,0.0172755811363,0.0559803284705,-0.677035450935,-0.733614861965
-0.582766532898,-0.163356989622,0.942309737206,0.0169425029308,0.0558803156018,-0.677172720432,-0.733503580093
-0.582766532898,-0.163356989622,0.942309737206,0.0169425029308,0.0558803156018,-0.677172720432,-0.733503580093
-0.582752943039,-0.163373827934,0.942331314087,0.0169325247407,0.0553253218532,-0.678159117699,-0.732633948326
-0.582752943039,-0.163373827934,0.942331314087,0.0169325247407,0.0553253218532,-0.678159117699,-0.732633948326
-0.582734882832,-0.163375273347,0.942347288132,0.0160934459418,0.0554542355239,-0.678173661232,-0.732629716396
-0.582713544369,-0.163377836347,0.942366719246,0.0161381401122,0.0552337840199,-0.678463935852,-0.732376515865
-0.582730710506,-0.163361132145,0.942397296429,0.0166602879763,0.0553341433406,-0.67825949192,-0.732546627522
-0.582786083221,-0.163288235664,0.942623496056,0.0162338912487,0.0558921657503,-0.678416132927,-0.732368886471
-0.582772791386,-0.163305938244,0.942624390125,0.0158508066088,0.055515486747,-0.67862612009,-0.73221129179
-0.582648217678,-0.163392454386,0.942470610142,0.0161390025169,0.0554447285831,-0.67889714241,-0.731958985329
-0.582638323307,-0.163395240903,0.942478299141,0.0156754273921,0.0551487840712,-0.679061174393,-0.731839299202
-0.582638323307,-0.163395240903,0.942478299141,0.0156754273921,0.0551487840712,-0.679061174393,-0.731839299202
-0.582705199718,-0.16330896318,0.942632317543,0.0155969066545,0.0539430789649,-0.679830610752,-0.73121625185
-0.582511663437,-0.163396507502,0.942586958408,0.0151588330045,0.0542767047882,-0.679595410824,-0.73141938448
-0.582565844059,-0.163267046213,0.942764759064,0.0149800544605,0.0540374815464,-0.680188775063,-0.730888962746
-0.582531154156,-0.163297399879,0.942705273628,0.0143973203376,0.0543806664646,-0.679845154285,-0.731194972992
-0.582493185997,-0.16323505342,0.942771494389,0.0136741725728,0.0544876568019,-0.679555475712,-0.731470108032
-0.582493185997,-0.16323505342,0.942771494389,0.0136741725728,0.0544876568019,-0.679555475712,-0.731470108032
